#Name(变量名),level(模糊分级), all_range_min(参数取值范围最小值),all_range_max(参数取值范围最大值),action_range_min(参数调整区间最小值),action_range_max(参数调整区间最大值),action_maxVal(参数单次最大调整量)
#Defect
DLGASVEINS5,3,0,1,-1,-1,-1
DLGASVEINS6,3,0,1,-1,-1,-1
DLMATERIALFLOWER1,3,0,1,-1,-1,-1
DLMATERIALFLOWER2,3,0,1,-1,-1,-1
DLMATERIALFLOWER3,3,0,1,-1,-1,-1
DLMATERIALFLOWER4,3,0,1,-1,-1,-1
DLMATERIALFLOWER5,3,0,1,-1,-1,-1
DLMATERIALFLOWER6,3,0,1,-1,-1,-1
HOLDEXIST,3,0,1,-1,-1,-1
VALVEEXIST,3,0,1,-1,-1,-1
IDT1,3,0,50,0,50,4
IDT2,3,0,50,0,50,4
IDT3,3,0,50,0,50,4
IDT4,3,0,50,0,50,4
IDT5,3,0,50,0,50,4
IDT6,3,0,50,0,50,4
SCT0,9,0,10,0,10,1
SCT1,9,0,10,0,10,1
SCT2,9,0,10,0,10,1
SCT3,9,0,10,0,10,1
SCT4,9,0,10,0,10,1
SCT5,9,0,10,0,10,1
SCT6,9,0,10,0,10,1
SCT7,9,0,10,0,10,1
SCT8,9,0,10,0,10,1
MT,3,20,100,20,100,20
